left_knee_angle,right_knee_angle,avg_knee_angle,sitting_depth,torso_lean,lateral_lean,forward_lean,left_knee_dev,right_knee_dev,knee_bend_delta,hip_level_delta,com_lateral_offset,min_visibility,label,video_file,frame_idx
132.9323543767725,136.12652608883826,134.52944023280537,0.4274680858277362,8.27794462442398,3.35149745479985,8.27794462442398,-0.04093194007873535,-0.0800899863243103,3.194171712065753,0.0052769482135772705,0.04052524268627167,0.9709978699684143,weight_shift,weight_shift_03.mp4,39
133.77880726625307,136.65906572304584,135.21893649464945,0.4269638828072069,8.185262680053711,3.4063724624633536,8.185262680053711,-0.03924894332885742,-0.07965013384819031,2.880258456792774,0.005197852849960327,0.041410893201828,0.9699853658676147,weight_shift,weight_shift_03.mp4,42
133.59971963569967,135.8373380747109,134.7185288552053,0.42761287487630856,9.234458804130554,3.3480053233507383,9.234458804130554,-0.03977060317993164,-0.0802338719367981,2.237618439011243,0.004580646753311157,0.040449902415275574,0.9694278240203857,weight_shift,weight_shift_03.mp4,45
134.1256583837194,136.15002834491006,135.13784336431473,0.4282699478478922,9.395011365413666,3.276955749766305,9.395011365413666,-0.03920018672943115,-0.07926541566848755,2.0243699611906436,0.004107296466827393,0.0395374596118927,0.9712453484535217,weight_shift,weight_shift_03.mp4,48
133.998556615366,136.5818793828569,135.29021799911146,0.4297020119837839,8.934450447559357,3.0426013732900428,8.934450447559357,-0.039202988147735596,-0.07877039909362793,2.5833227674908983,0.005015075206756592,0.039888471364974976,0.9740280508995056,weight_shift,weight_shift_03.mp4,51
133.91631063652363,136.77540780213783,135.34585921933075,0.4272681902419845,9.133975803852081,3.146650584278218,9.133975803852081,-0.03955870866775513,-0.07863414287567139,2.8590971656142017,0.005373567342758179,0.04001101851463318,0.9736175537109375,weight_shift,weight_shift_03.mp4,54
133.07079683564703,136.76495817929913,134.91787750747307,0.42924374446670704,8.935304880142212,2.9300471439449436,8.935304880142212,-0.04027920961380005,-0.07817274332046509,3.694161343652098,0.005463391542434692,0.03996412456035614,0.9718164801597595,weight_shift,weight_shift_03.mp4,57
133.7712978232195,135.88652434770722,134.82891108546335,0.4295196620158267,8.94113302230835,2.615551352060802,8.94113302230835,-0.040125250816345215,-0.07969087362289429,2.115226524487724,0.004104495048522949,0.039623409509658813,0.970738410949707,weight_shift,weight_shift_03.mp4,60
131.18353286772643,135.9496648301168,133.56659884892161,0.428312540121504,8.718068897724152,2.6663944736193903,8.718068897724152,-0.0454404354095459,-0.07782384753227234,4.766131962390375,0.004042267799377441,0.03660748898983002,0.9682273864746094,weight_shift,weight_shift_03.mp4,63
130.81398907028088,135.42800525498248,133.12099716263168,0.4282721941236781,9.013694822788239,2.5804737441050007,9.013694822788239,-0.04652535915374756,-0.07802695035934448,4.6140161847015975,0.003409862518310547,0.03516837954521179,0.9745444655418396,weight_shift,weight_shift_03.mp4,66
